Acetic Acid,64-19-7,Other VOC,1049.67576,8.76,60,,0.000229,7.318,1466,214,26.94323873,0.52113896
Acetone,67-64-1,Other VOC,790.8516,6.6,58,,0.0015,7.024,1161,224,347.8359913,6.727880359
Acetonitrile,75-05-8,VOC/HAP,782.46378,6.53,41,,0.000816,7.264,1426.5,243.645,139.5027666,2.698277195
Avermectin Oils1,XX-XX-1,VOC,1139.54526,9.51,128.18,,0.0197,7.3729,1968.36,222.61,0.539569694,0.010436414
Butanol,71-36-3,Other VOC,810.02376,6.76,74.1,,0.000364,8.234,1814.6,220.923,13.91829658,0.269209158
n-Butyl Acetate,123-86-4,Other VOC,886.7124,7.4,116.2,,0.00671,8.099,1964,253,19.03511722,0.368179241
t-Butyldimethyl Silanol1,XX-XX-5,VOC,1139.54526,9.51,128.18,,0.0197,7.3729,1968.36,222.61,0.539569694,0.010436414
Cyclohexane,110-82-7,Other VOC,778.869,6.5,84.2,,7.167624,6.845,1203.5,222.863,150.5889117,2.912706582
Dimethylaminopyridine1,XX-XX-6,VOC,1139.54526,9.51,128.18,,0.0197,7.3729,1968.36,222.61,0.539569694,0.010436414
Dimethylformamide,68-12-2,VOC/HAP,944.22888,7.88,73.1,,0.00000777,6.786,1361.5,194.627,7.191495253,0.139098658
Dimethylsulfate,77-78-1,VOC/HAP,1330.0686,11.1,126.1,,0.000164,3.672,284.5,48.313,1.807868262,0.034967978
Dimethylsulfide,75-18-3,Other VOC,848.36808,7.08,62.13,,0.08406,5.438,475,148.247,701.2457653,13.56356941
Dimethylsulfoxide,67-68-5,Other VOC,1096.4079,9.15,78.1,,0.00002882,9.484,3409.9,327.827,1.218588523,0.023570067
Dodecylbenzylsulfonic Acid1,XX-XX-7,VOC,1139.54526,9.51,128.18,,0.0197,7.3729,1968.36,222.61,0.539569694,0.010436414
Ethanol,64-17-5,Other VOC,788.45508,6.58,46.1,,0.000257,8.045,1554.3,222.65,102.8957963,1.990221323
Ethyl Acetate,141-78-6,Other VOC,898.695,7.5,88.1,,0.00532,7.098,1238.7,217,152.2382593,2.944608436
Ethyl Ether,60-29-7,Other VOC,712.9647,5.95,74.1,,0.0278,7.049,1109.9,231.652,770.2754751,14.89874932
n-Ethyl Pyrolidone (NEP),XX-XX-2,Other VOC,814.8168,6.8,113,,0.0197,8.873,2812.3,269.287,0.427305598,0.00826499
Ethyl-7-Chloro-2-Oxoheptanate1,XX-XX-8,VOC,1139.54526,9.51,128.18,,0.0197,7.3729,1968.36,222.61,0.539569694,0.010436414
Heptane,142-82-5,Other VOC,613.50912,5.12,100.2,,82.6,6.896,1264.9,216.54,73.68453071,1.425213949
Hexane,110-54-3,VOC/HAP,659.043,5.5,86.2,,31.4,6.858,1160.6,223.043,229.2450697,4.43408227
Isoamyl Alcohol,123-51-3,Other VOC,818.41158,6.83,88.2,,0.000458528,8.13,1786.6,209.735,6.758635594,0.130726241
Isopropanol,67-63-0,Other VOC,784.8603,6.55,60.1,,0.000614,9.017,2087.5,257.8,77.18983441,1.493013902
Isopropyl Acetate,108-21-4,Other VOC,872.33328,7.28,102.1,,0.01391,7.18,1353.6,225.824,97.789794,1.891460489
Methane Sulfonic Acid,75-75-2,Other VOC,1481.04936,12.36,96.1,,1.97E-05,9.699,3784.7,268.227,0.001650409,3.19E-05
Methanol,67-56-1,VOC/HAP,792.04986,6.61,32,,0.000213,7.879,1473.1,230,208.9931614,4.042367727
Methyl Acetate,79-20-9,Other VOC,926.25498,7.73,74.1,,0.00443,7.202,1232.8,228,326.9998312,6.324865157
Methyl Ethyl Ketone,78-93-3,VOC/HAP,804.03246,6.71,72,,0.00532,6.974,1209.6,216,142.8487663,2.762995875
Methylene Chloride,75-09-2,VOC/HAP,1336.0599,11.15,85,,0.361,7.263,1222.7,238.4,617.7291533,11.94818231
Phenyl Phosphate1,XX-XX-9,VOC,1139.54526,9.51,128.18,,0.0197,7.3729,1968.36,222.61,0.539569694,0.010436414
n-Propanol,71-23-8,Other VOC,805.23072,6.72,60.09,,0.000744,8.462,1846.2,232.994,37.41448739,0.723674953
Tetrahydrofuran,109-99-9,Other VOC,887.91066,7.41,72.1,,0.00196,7.506,1574.1,274.269,260.7690952,5.043823288
Toluene,108-88-3,VOC/HAP,865.14372,7.22,92.1,,0.263,6.955,1344.8,219.482,46.83168699,0.905823419
Triethylamine,121-44-8,VOC/HAP,650.65518,5.43,101.2,,0.00511,5.858,695.7,144.8,97.43181181,1.88453636
Hydrazine,302-01-2,,1002.94362,8.37,32.05,,8.34E-07,,,,25.6534534,0.496191796
Chloroform,,TVOS,1499.02326,12.51,119.5,,0.1593,6.992,1192.4,228.53,293.2769675,5.672593976
Pyrrolidine,,Other VOC,851.96286,7.11,71.12,,0.000096079,7.382,1427.8,230.192,99.53512111,1.92521879
MTBE,1634-04-4,Other VOC,740.6,6.18,88.2,,0.0227,6.887,1162.1,219.9,212.7929514,4.115863665
Water,XX-XX-4,Water,999.34884,8.34,18,,,8.04,1715.1,232.4,42.2681717,0.817555426
